# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	5209905	1332	+					dnaA		CKW09_RS00005	1401		old_locus_tag=SAMEA4384070_00001
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	5209905	1332	+	WP_083950370.1	WP_083950370.1		chromosomal replication initiator protein DnaA	dnaA		CKW09_RS00005	1401	466	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	1337	2437	+					dnaN		CKW09_RS00010	1101		old_locus_tag=SAMEA4384070_00002
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	1337	2437	+	WP_095094874.1	WP_095094874.1		DNA polymerase III subunit beta	dnaN		CKW09_RS00010	1101	366	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	2483	3568	+					recF		CKW09_RS00015	1086		old_locus_tag=SAMEA4384070_00003
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	2483	3568	+	WP_061797816.1	WP_061797816.1		DNA replication/repair protein RecF	recF		CKW09_RS00015	1086	361	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	3587	6001	+					gyrB		CKW09_RS00020	2415		old_locus_tag=SAMEA4384070_00004
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	3587	6001	+	WP_095094877.1	WP_095094877.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CKW09_RS00020	2415	804	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	6126	6941	+					yidA		CKW09_RS00025	816		old_locus_tag=SAMEA4384070_00005
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	6126	6941	+	WP_061797819.1	WP_061797819.1		sugar-phosphatase	yidA		CKW09_RS00025	816	271	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	6967	7908	-							CKW09_RS00030	942		old_locus_tag=SAMEA4384070_00006
CDS	with_protein	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	6967	7908	-	WP_061797821.1	WP_061797821.1		ornithine cyclodeaminase family protein			CKW09_RS00030	942	313	
gene	protein_coding	GCF_900187015.1	Primary Assembly	chromosome	1	NZ_LT906479.1	7895	8863	-							CKW09_RS00035	969		old_locus_tag=SAMEA4384070_00007
