# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	5102732	333	+					yihI	64305913	J0X03_RS00005	543		old_locus_tag=J0X03_00005
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	5102732	333	+	WP_015379455.1	WP_015379455.1		Der GTPase-activating protein YihI	yihI	64305913	J0X03_RS00005	543	180	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	516	1889	+					hemN	64305914	J0X03_RS00010	1374		old_locus_tag=J0X03_00010
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	516	1889	+	WP_042785602.1	WP_042785602.1		oxygen-independent coproporphyrinogen III oxidase	hemN	64305914	J0X03_RS00010	1374	457	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	1924	2046	-						64305915	J0X03_RS00015	123		old_locus_tag=J0X03_00015
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	1924	2046	-	WP_015379453.1	WP_015379453.1		YshB family small membrane protein		64305915	J0X03_RS00015	123	40	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	2160	3572	-					glnG	64305916	J0X03_RS00020	1413		old_locus_tag=J0X03_00020
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	2160	3572	-	WP_033652266.1	WP_033652266.1		nitrogen regulation protein NR(I)	glnG	64305916	J0X03_RS00020	1413	470	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	3581	4630	-					glnL	64305917	J0X03_RS00025	1050		old_locus_tag=J0X03_00025
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	3581	4630	-	WP_004931246.1	WP_004931246.1		nitrogen regulation protein NR(II)	glnL	64305917	J0X03_RS00025	1050	349	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	4824	6233	-					glnA	64305918	J0X03_RS00030	1410		old_locus_tag=J0X03_00030
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	4824	6233	-	WP_033645173.1	WP_033645173.1		glutamate--ammonia ligase	glnA	64305918	J0X03_RS00030	1410	469	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	6604	8427	+					typA	64305919	J0X03_RS00035	1824		old_locus_tag=J0X03_00035
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	6604	8427	+	WP_004931243.1	WP_004931243.1		ribosome-dependent GTPase TypA	typA	64305919	J0X03_RS00035	1824	607	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	8594	9184	+					yihX	64305920	J0X03_RS00040	591		old_locus_tag=J0X03_00040
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	8594	9184	+	WP_160204693.1	WP_160204693.1		glucose-1-phosphatase	yihX	64305920	J0X03_RS00040	591	196	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	9236	10129	+						64305921	J0X03_RS00045	894		old_locus_tag=J0X03_00045
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	9236	10129	+	WP_025304713.1	WP_025304713.1		virulence factor BrkB family protein		64305921	J0X03_RS00045	894	297	
gene	protein_coding	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	10126	10563	+					dtd	64305922	J0X03_RS00050	438		old_locus_tag=J0X03_00050
CDS	with_protein	GCF_017309605.1	Primary Assembly	chromosome		NZ_CP071320.1	10126	10563	+	WP_160204692.1	WP_160204692.1		D-aminoacyl-tRNA deacylase	dtd	64305922	J0X03_RS00050	438	145	
